 written on 23Jan2026 at 14:34:11 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    1    2   -0.40929565E-03  0.12545873E-09
    2    2   -0.45662237E-03 -0.22713664E-09

    1    4    0
    1    1   -0.14012137E-03  0.29690290E-09
    2    1    0.74917549E-03 -0.33705137E-09
    1    2    0.67204746E-03  0.23958469E-09
    2    2   -0.14011020E-03 -0.26678399E-09

    2   -5    0
    1    1    0.20581463E-03  0.26015189E-09
    2    1    0.10800818E-03 -0.24812079E-09
    1    2   -0.82719536E-03  0.68813275E-10
    2    2    0.20577484E-03 -0.22564542E-09

    2   -4    0
    1    1    0.65656739E-03  0.23262315E-09
    2    1   -0.69529907E-03 -0.38577129E-09
    1    2   -0.48232476E-03 -0.56926794E-09
    2    2    0.65651850E-03 -0.27231244E-09

    2   -3    0
    1    1    0.43161815E-02  0.18352314E-09
    2    1   -0.37089041E-02 -0.20916816E-09
    1    2    0.73811232E-02 -0.16495647E-08
    2    2    0.43162014E-02 -0.30656636E-09

    2   -2    0
    1    1   -0.20082773E-01  0.50175518E-09
    2    1   -0.13036618E-01  0.98344664E-09
    1    2   -0.13036619E-01 -0.14338288E-08
    2    2   -0.20083062E-01 -0.68629959E-09

    2   -1    0
    1    1    0.52272988E-01  0.46791896E-09
    2    1    0.19682277E-01  0.16039235E-08
    1    2   -0.13036624E-01  0.18507354E-09
    2    2    0.52273740E-01 -0.68901248E-09

    2    0    0
    1    1   -0.20082771E-01  0.80635217E-10
    2    1    0.19682247E-01 -0.68946039E-09
    1    2    0.73811256E-02  0.23597292E-09
    2    2   -0.20083060E-01 -0.17099575E-09

    2    1    0
    1    1    0.43161840E-02  0.89943882E-10
    2    1   -0.13036626E-01 -0.34362729E-09
    1    2   -0.48232596E-03 -0.52893481E-10
    2    2    0.43162034E-02 -0.13278063E-09

    2    2    0
    1    1    0.65656747E-03  0.11404416E-09
    2    1   -0.37089048E-02 -0.95091601E-10
    1    2   -0.82719531E-03 -0.15767490E-09
    2    2    0.65651953E-03 -0.11393226E-09

    2    3    0
    1    1    0.20581448E-03  0.29459267E-09
    2    1   -0.69529927E-03 -0.77184925E-11
    1    2   -0.12695555E-03 -0.81143571E-10
    2    2    0.20577491E-03 -0.24813186E-09

    2    4    0
    1    1    0.19132842E-04  0.25063633E-09
    2    1    0.10800811E-03 -0.21399330E-10
    1    2   -0.12695569E-03  0.14938507E-09
    2    2    0.19151059E-04 -0.22300147E-09

    3   -6    0
    1    1    0.74106191E-04  0.83887786E-10
    2    1   -0.12706516E-03  0.19383758E-10
    1    2   -0.12695562E-03  0.15152588E-10
    2    2    0.74128104E-04 -0.67935745E-10

    3   -5    0
    1    1    0.20581470E-03  0.21961867E-09
    2    1   -0.15921731E-03 -0.58982097E-10
    1    2   -0.40929574E-03 -0.55954458E-09
    2    2    0.20577464E-03 -0.22882091E-09

    3   -4    0
    1    1   -0.45655243E-03  0.29792296E-09
    2    1   -0.69529888E-03  0.37630424E-09
    1    2    0.32833639E-03 -0.11109233E-08
    2    2   -0.45662350E-03 -0.33824241E-09

    3   -3    0
    1    1   -0.11122390E-02  0.71167808E-10
    2    1   -0.53659669E-04  0.11244309E-08
    1    2   -0.53660729E-04 -0.10968609E-08
    2    2   -0.11121722E-02 -0.18034633E-09

    3   -2    0
    1    1    0.43161811E-02 -0.22127075E-09
    2    1    0.73811245E-02  0.15011655E-08
    1    2   -0.37089041E-02 -0.13018017E-09
    2    2    0.43162018E-02  0.15584375E-10

    3   -1    0
    1    1    0.43161851E-02 -0.19400188E-09
    2    1   -0.19704890E-01  0.20815269E-09
    1    2   -0.53660864E-04  0.31792366E-09
    2    2    0.43162027E-02  0.14077021E-10

    3    0    0
    1    1   -0.11122410E-02 -0.33946604E-10
    2    1    0.73811240E-02 -0.50517947E-09
    1    2    0.32833682E-03  0.57641961E-10
    2    2   -0.11121718E-02 -0.38350254E-10

    3    1    0
    1    1   -0.45655274E-03 -0.63812832E-10
    2    1   -0.53660396E-04 -0.10431694E-09
    1    2   -0.40929569E-03 -0.12635323E-09
    2    2   -0.45662269E-03  0.50024248E-10

    3    2    0
    1    1    0.20581459E-03  0.23908122E-10
    2    1   -0.69529917E-03  0.10330792E-09
    1    2   -0.12695546E-03 -0.18743931E-09
    2    2    0.20577479E-03 -0.11376318E-10

    3    3    0
    1    1    0.74106266E-04  0.82907876E-10
    2    1   -0.15921764E-03  0.23809906E-09
    1    2    0.58919630E-03 -0.23664418E-10
    2    2    0.74128095E-04 -0.57109299E-10

    4   -6    0
    1    1    0.19132805E-04 -0.79620458E-10
    2    1   -0.12706509E-03 -0.47227819E-10
    1    2    0.67204732E-03 -0.16632275E-09
    2    2    0.19150986E-04  0.50005097E-10

    4   -5    0
    1    1   -0.14012062E-03  0.11839594E-09
    2    1    0.10800824E-03  0.18528704E-09
    1    2   -0.23179486E-03 -0.42872350E-09
    2    2   -0.14011064E-03 -0.13237064E-09

    4   -4    0
    1    1   -0.68370498E-03  0.77601340E-10
    2    1    0.74917572E-03  0.71967454E-09
    1    2    0.74917508E-03 -0.43263888E-09
    2    2   -0.68372678E-03 -0.95461011E-10

    4   -3    0
    1    1   -0.45655294E-03 -0.62189976E-10
    2    1    0.32833748E-03  0.88628208E-09
    1    2   -0.69529905E-03 -0.10350311E-09
