 written on  4Feb2026 at 16:32:24 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    3    4    0.14112118E-03  0.12963477E-07
    4    4   -0.24677783E-03 -0.20134913E-08

   -4    6    0
    1    1   -0.81413419E-04  0.19359451E-08
    2    1    0.60248861E-03 -0.71517396E-08
    3    1   -0.27178408E-03  0.13979936E-07
    4    1    0.34656205E-03 -0.28261891E-08
    1    2    0.16626836E-03  0.18205142E-08
    2    2    0.33582212E-04  0.33970945E-08
    3    2   -0.32648388E-03 -0.34638417E-08
    4    2   -0.27116977E-03 -0.53663641E-08
    1    3    0.71332131E-04 -0.40630777E-09
    2    3    0.27506991E-04  0.35912282E-09
    3    3    0.34692120E-04 -0.80629163E-08
    4    3    0.60166645E-03 -0.10150911E-07
    1    4    0.94679748E-04  0.32923165E-08
    2    4    0.71720036E-04 -0.49124381E-08
    3    4    0.16596833E-03  0.26499524E-08
    4    4   -0.80830882E-04  0.76727625E-08

   -3   -3    0
    1    1   -0.33781096E-04  0.53574336E-08
    2    1    0.41883973E-03 -0.66070731E-08
    3    1   -0.19835713E-03  0.14322838E-07
    4    1   -0.19171255E-03  0.52623980E-08
    1    2   -0.54093625E-03  0.73956275E-08
    2    2    0.89336476E-05 -0.66866837E-08
    3    2    0.18492840E-03  0.20280434E-09
    4    2   -0.19856625E-03  0.73211491E-08
    1    3    0.40401134E-03  0.33716072E-08
    2    3   -0.28099159E-03 -0.38249541E-08
    3    3    0.87520791E-05  0.12877535E-07
    4    3    0.42095634E-03 -0.75432532E-08
    1    4   -0.43454352E-03  0.91313977E-08
    2    4    0.40371616E-03  0.15077447E-08
    3    4   -0.54077088E-03  0.12023474E-08
    4    4   -0.33962802E-04  0.73812349E-08

   -3   -2    0
    1    1    0.24677465E-03 -0.64905451E-08
    2    1   -0.22736762E-03  0.12970146E-07
    3    1    0.75768887E-04 -0.82106525E-08
    4    1   -0.19172461E-03  0.20534963E-08
    1    2   -0.50307473E-03  0.92054783E-08
    2    2    0.98669399E-04 -0.40130377E-08
    3    2   -0.30029395E-04 -0.15890599E-08
    4    2    0.75800792E-04 -0.93655070E-08
    1    3   -0.34757734E-04 -0.54905581E-08
    2    3    0.44089032E-03 -0.17441806E-08
    3    3    0.98074294E-04 -0.30513616E-08
