 written on 26Jan2026 at 09:08:27 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    4    4   -0.27617320E-02  0.41640917E-08

   -3    4    0
    1    1   -0.79510577E-04 -0.33582657E-09
    2    1    0.11067240E-02 -0.40053690E-08
    3    1    0.33418780E-03 -0.81995346E-09
    4    1   -0.10020227E-03 -0.19114572E-08
    1    2   -0.33236418E-03  0.62230890E-09
    2    2   -0.79509142E-04 -0.13420363E-08
    3    2   -0.73273770E-04 -0.45911127E-09
    4    2    0.33360775E-03 -0.16992120E-09
    1    3    0.33360899E-03  0.69912457E-08
    2    3   -0.10019981E-03  0.21501957E-08
    3    3   -0.81081648E-04  0.97161897E-09
    4    3    0.11068472E-02 -0.50593975E-08
    1    4   -0.73268294E-04 -0.41203912E-09
    2    4    0.33418652E-03 -0.66128077E-08
    3    4   -0.33225711E-03  0.25707230E-08
    4    4   -0.81075168E-04  0.36403197E-08

   -3    5    0
    1    1    0.38976631E-03 -0.47959920E-08
    2    1   -0.14270278E-03  0.48668678E-08
    3    1    0.38215660E-04  0.52430932E-08
    4    1   -0.11929135E-03 -0.71522398E-08
    1    2   -0.40539895E-03  0.28988839E-08
    2    2    0.38976436E-03  0.34306726E-08
    3    2   -0.10135481E-03 -0.60123217E-08
    4    2    0.38086573E-04 -0.67374676E-08
    1    3    0.38084387E-04  0.96903900E-08
    2    3   -0.11929641E-03 -0.21762265E-10
    3    3    0.38974524E-03 -0.79917116E-08
    4    3   -0.14134839E-03 -0.65075040E-09
    1    4   -0.10135349E-03 -0.37566488E-08
    2    4    0.38220646E-04 -0.94069918E-08
    3    4   -0.40534543E-03  0.27801454E-08
    4    4    0.38973526E-03  0.47698133E-08

   -3    6    0
    1    1   -0.59923982E-04  0.20695759E-08
    2    1   -0.12520998E-03  0.47778430E-08
    3    1    0.15566781E-03  0.11362890E-09
    4    1    0.20361889E-03 -0.20195072E-08
    1    2    0.17981794E-03 -0.53008820E-10
    2    2   -0.59921077E-04 -0.22160478E-08
    3    2    0.18436908E-04 -0.11512492E-08
    4    2    0.15529765E-03  0.24624864E-08
    1    3    0.15531190E-03  0.13316844E-09
    2    3    0.20362092E-03 -0.15294576E-08
    3    3   -0.60705814E-04  0.31852026E-08
    4    3   -0.12634300E-03 -0.54271698E-09
    1    4    0.18438792E-04 -0.10919638E-09
    2    4    0.15566061E-03  0.29328183E-08
    3    4    0.17989076E-03  0.76046416E-09
    4    4   -0.60699885E-04 -0.67200075E-08

   -2   -4    0
    1    1   -0.20707396E-03 -0.41344351E-08
    2    1   -0.12521800E-03 -0.10389627E-08
    3    1   -0.28401944E-03  0.15863619E-08
    4    1    0.20362824E-03 -0.28033154E-09
    1    2   -0.18060194E-04  0.73810915E-08
    2    2   -0.20707795E-03  0.84619065E-10
    3    2    0.89257037E-04 -0.15088899E-08
    4    2   -0.28325996E-03 -0.51715760E-09
    1    3   -0.28326547E-03  0.73575290E-09
    2    3    0.20362675E-03 -0.20397542E-08
    3    3   -0.20536460E-03 -0.21164601E-08
    4    3   -0.12635710E-03  0.28050795E-08
    1    4    0.89259821E-04 -0.12462167E-08
    2    4   -0.28401519E-03 -0.36376228E-10
    3    4   -0.18529523E-04  0.28439653E-08
    4    4   -0.20537252E-03  0.38902977E-08

   -2   -3    0
    1    1    0.38976374E-03  0.14571418E-08
    2    1   -0.12521607E-03  0.68638667E-09
    3    1    0.38216895E-04 -0.44593027E-08
    4    1    0.20362438E-03 -0.41969335E-08
    1    2   -0.33236083E-03  0.60795543E-08
    2    2    0.38976822E-03 -0.89334663E-09
    3    2   -0.73292996E-04 -0.37603960E-08
    4    2    0.38082573E-04  0.82197107E-09
    1    3    0.38087823E-04 -0.29895055E-08
    2    3    0.20362659E-03 -0.17094794E-08
    3    3    0.38973980E-03  0.35599234E-08
    4    3   -0.12635467E-03  0.14607276E-09
    1    4   -0.73286681E-04  0.77296396E-08
    2    4    0.38216499E-04  0.50054288E-08
    3    4   -0.33224169E-03  0.20558170E-08
    4    4    0.38974656E-03 -0.49060487E-09

   -2   -2    0
    1    1    0.79872918E-03  0.79447665E-09
    2    1   -0.48241191E-03 -0.43694838E-08
    3    1   -0.32395853E-03 -0.84555183E-08
    4    1    0.20585101E-03 -0.11244577E-08
    1    2   -0.26989525E-02  0.44064377E-08
    2    2    0.79873614E-03 -0.52778109E-08
    3    2    0.13936395E-03  0.11173320E-07
    4    2   -0.32313418E-03  0.56764489E-08
    1    3   -0.32313352E-03 -0.33983597E-08
    2    3    0.20585086E-03 -0.12373563E-08
    3    3    0.80033919E-03  0.69060994E-08
    4    3   -0.48312679E-03 -0.11469619E-08
    1    4    0.13936813E-03  0.72731141E-08
    2    4   -0.32395189E-03  0.12105494E-07
    3    4   -0.26996832E-02 -0.62377646E-08
    4    4    0.80034513E-03 -0.97695057E-08

   -2   -1    0
    1    1    0.34133226E-02 -0.73588277E-08
    2    1   -0.14886485E-02 -0.42773504E-08
    3    1   -0.77028937E-04  0.47974614E-08
    4    1    0.12973950E-03 -0.27549752E-08
    1    2   -0.13252740E-01  0.16181068E-07
    2    2    0.34133186E-02  0.18813865E-08
    3    2   -0.57153549E-03 -0.89141076E-08
    4    2   -0.76759776E-04 -0.32406210E-08
    1    3   -0.76774886E-04  0.40471627E-08
    2    3    0.12973694E-03 -0.24133526E-08
    3    3    0.34156408E-02 -0.50577213E-08
    4    3   -0.14890545E-02 -0.14256912E-08
    1    4   -0.57154322E-03 -0.12921071E-07
    2    4   -0.77019890E-04 -0.23022222E-08
    3    4   -0.13257012E-01  0.22583082E-07
    4    4    0.34156408E-02  0.12233858E-07

   -2    0    0
    1    1   -0.95452251E-02  0.14736646E-07
    2    1    0.65730600E-02  0.47687407E-08
    3    1   -0.24155395E-02  0.82565814E-09
    4    1    0.13217727E-03 -0.43989234E-08
    1    2   -0.71862378E-02  0.25088938E-07
    2    2   -0.95452190E-02 -0.12732744E-07
    3    2    0.96961984E-02  0.84887569E-08
    4    2   -0.24155229E-02  0.86978726E-08
    1    3   -0.24155366E-02 -0.65023851E-08
    2    3    0.13216431E-03 -0.30325740E-08
    3    3   -0.95524253E-02  0.16387779E-07
    4    3    0.65744347E-02  0.72903083E-08
    1    4    0.96962031E-02 -0.49562392E-08
    2    4   -0.24155402E-02  0.21636836E-08
    3    4   -0.71825189E-02 -0.23055871E-08
    4    4   -0.95524105E-02 -0.20599371E-07

   -2    1    0
